discipline_id,term,definition
general-psych,Психика,"Системное свойство высокоорганизованной материи, заключающееся в активном отражении субъектом объективного мира и регуляции на этой основе своего поведения."
general-psych,Сознание,"Высшая, свойственная только человеку форма обобщенного и опосредованного отражения объективных устойчивых свойств и закономерностей окружающего мира."
general-psych,Деятельность,"Динамическая, саморазвивающаяся система взаимодействий субъекта с миром, в процессе которых происходят и воплощаются в объекте психические процессы."
general-psych,Интроспекция,"Исторический метод психологического исследования, заключающийся в специально организованном самонаблюдении человека за собственными психическими процессами."
general-psych,Полипредметность науки,"Методологическая особенность психологии, выражающаяся в закономерной трансформации и сосуществовании множества различных предметов исследования в зависимости от научных школ."
general-psych,Номотетический подход,"Методологический подход, направленный на поиск общих объективных законов, выявление причинно-следственных связей и статистических закономерностей."
general-psych,Идеографический подход,"Методологический подход, ориентированный на глубокое описание, понимание и интерпретацию единичных, уникальных и неповторимых феноменов человеческой личности."
general-psych,Психическое отражение,"Активный процесс воссоздания характеристик среды в структуре нервной системы, который субъективен по носителю и объективен по содержанию."
general-psych,Детерминизм,"Научный принцип, утверждающий, что все психические явления причинно обусловлены воздействием внешних факторов, преломляющихся через внутренние условия."
general-psych,Принцип системности,"Методологический подход, требующий рассматривать психику как сложную, многоуровневую систему, обладающую целостностью и внутренними связями."
general-psych,Принцип развития,"Научный принцип, требующий изучения психических явлений в их динамике, филогенезе и онтогенезе, с отслеживанием качественных изменений во времени."
general-psych,Филогенез,"Историческое, эволюционное развитие живых организмов и их психических структур от простейших форм до человека разумного."
general-psych,Онтогенез,Процесс индивидуального развития человеческого организма и его психики с момента зарождения до окончания жизненного пути.
general-psych,Психофизиологическая проблема,Фундаментальный вопрос психологии о соотношении идеальных ментальных процессов и материальных физиологических процессов в головном мозге.
general-psych,Психосоциальная проблема,Методологическая проблема соотношения и взаимодействия биологических (природных) и социальных (культурных) факторов в развитии личности.
general-psych,Психопрактическая проблема,Вопрос о взаимосвязи внутреннего психического мира человека и его внешней практической деятельности (как они взаимно формируют друг друга).
general-psych,Психогностическая проблема,"Проблема отношения психического образа к отражаемой им объективной реальности (вопрос о точности, границах и адекватности познания мира)."
general-psych,Лонгитюдный метод,"Организационный метод (по Б.Г. Ананьеву), заключающийся в длительном и систематическом изучении одних и тех же испытуемых на протяжении многих лет."
general-psych,Праксиметрические методы,"Эмпирические методы исследования особенностей человека через объективный анализ процессов и продуктов его деятельности (рисунков, тетрадей, хронометрии)."
general-psych,Контент-анализ,"Строгий научный метод качественного и количественного анализа содержания текстов, документов или интервью с целью выявления скрытых тенденций."
general-psych,Эффект реактивности,"Искажение естественного поведения испытуемого, вызванное тем фактом, что он знает об осуществлении наблюдения или эксперимента за ним."
general-psych,Независимая переменная,"Экспериментальный фактор или условие, которым исследователь целенаправленно манипулирует, изменяет или дозирует в ходе опыта."
general-psych,Зависимая переменная,"Психический процесс или реакция испытуемого, которая изменяется под целенаправленным воздействием независимой переменной."
general-psych,Формирующий эксперимент,"Метод исследования, направленный на активное проектирование, конструирование и развитие конкретных психических качеств в процессе обучения."
general-psych,Стандартизация теста,"Обеспечение единообразия процедуры проведения и оценки методики, а также создание объективной шкалы норм на основе репрезентативной выборки."
general-psych,Надежность теста,"Психометрический критерий, отражающий относительное постоянство, устойчивость и согласованность результатов методики при ее повторном применении."
general-psych,Валидность теста,"Комплексная характеристика пригодности методики для точного измерения именно того психического свойства, для оценки которого она создавалась."
general-psych,Проективные тесты,"Методики исследования личности, основанные на интерпретации неопределенных стимулов, на которые проецируются скрытые мотивы и страхи человека."
general-psych,Социометрия,"Метод изучения структуры эмоциональных, статусных и межличностных отношений в малой группе через процедуру фиксации гипотетических выборов."
general-psych,Ощущение,"Психический процесс отражения изолированных, отдельных свойств предметов объективного мира при их непосредственном воздействии на рецепторы."
general-psych,Анализатор,"Сложный нервный механизм (по И.П. Павлову), состоящий из рецептора, проводящих путей и центрального коркового отдела, осуществляющий анализ стимулов."
general-psych,Интероцепция,"Тип ощущений (по Ч. Шеррингтону), отражающий внутреннее состояние организма, химизм и работу его внутренних органов (голод, жажда)."
general-psych,Проприоцепция,"Тип ощущений (по Ч. Шеррингтону), сигнализирующий о положении частей тела в пространстве, координации, балансе и мышечном напряжении."
general-psych,Протопатический ряд,"Филогенетически древняя, примитивная форма чувствительности, характеризующаяся смутными, труднолокализуемыми и аффективными ощущениями."
general-psych,Эпикритический ряд,"Филогенетически молодая форма чувствительности, обеспечивающая четкое, раздельное, объективное и точно локализованное восприятие качеств стимула."
general-psych,Абсолютный нижний порог,"Минимальная интенсивность физического раздражителя, способная вызвать в сенсорной системе едва заметное, первичное ощущение."
general-psych,Дифференциальный порог,"Минимальное различие в интенсивности между двумя близкими раздражителями, которое способна зафиксировать система для их различения."
general-psych,Адаптация ощущений,"Приспособление органа чувств к постоянно действующему физическому раздражителю, выражающееся в изменении уровня его чувствительности."
general-psych,Сенсибилизация,"Процесс резкого повышения чувствительности анализаторов, вызванный взаимодействием органов чувств или специальными тренировками."
general-psych,Синестезия,"Межмодальный феномен, при котором стимуляция одной сенсорной системы автоматически вызывает соощущение в совершенно другой (например, цветной слух)."
general-psych,Восприятие,"Целостное психическое отражение предметов, явлений и ситуаций объективного мира при их непосредственном воздействии на органы чувств."
general-psych,Константность восприятия,"Свойство образа, выражающееся в относительной стабильности признаков предмета (размера, формы, цвета) при изменении условий его наблюдения."
general-psych,Принцип фигуры и фона,"Закон гештальт-психологии, определяющий автоматическое разделение зрительного поля на центральный объект (фигуру) и аморфную среду (фон)."
general-psych,Экологический подход,"Теория Дж. Гибсона, постулирующая прямое, непосредственное извлечение информации из окружающей среды без сложных вычислительных операций мозга."
general-psych,Перцептивный цикл,"Непрерывный циклический процесс (по У. Найссеру), в ходе которого когнитивная схема направляет поиск, а извлеченная информация перестраивает саму схему."
general-psych,Память,"Сквозной психический процесс запечатления, сохранения, последующего узнавания и воспроизведения следов прошлого опыта."
general-psych,Реминисценция,"Мнемический феномен более полного и качественного воспроизведения заученного материала через 2–3 дня, чем сразу после его изучения."
general-psych,Метапамять,"Когнитивный компонент самосознания, представляющий собой знание и индивидуальные представления человека о работе собственной памяти."
general-psych,Оперативная память,"Мнемический процесс, обеспечивающий удержание информации и промежуточных данных, необходимых для выполнения конкретного текущего действия."
general-psych,Внимание,Направленность и сосредоточенность сознания субъекта на определенных объектах или процессах при одновременном отвлечении от всего остального.
general-psych,Послепроизвольное внимание,"Вид внимания, характеризующийся высокой сосредоточенностью на фоне глубокого интереса к деятельности, при котором исчезают волевые усилия."
general-psych,Умственный контроль,"Внутреннее действие (по П.Я. Гальперину), направленное на непрерывный мониторинг, сопоставление и проверку хода выполнения текущего действия с эталоном."
general-psych,Мышление,"Высший познавательный процесс, заключающийся в обобщенном и опосредованном отражении существенных связей и глубоких отношений реальности."
general-psych,Абстрагирование,"Мыслительная операция, заключающаяся в мысленном выделении существенных свойств предмета и одновременном отвлечении от его несущественных признаков."
general-psych,Внутренняя речь,"Скрытая, беззвучная форма речи (речь для себя), характеризующаяся предикативностью и выступающая главным инструментом мышления."
general-psych,Воображение,Сквозной психический процесс конструирования качественно новых образов и идей на основе творческой переработки элементов прошлого опыта.
general-psych,Антиципация,"Способность психики человека предвосхищать, опережать и прогнозировать наступление будущих событий или результатов действий до их совершения."
general-psych,Агглютинация,"Прием воображения, заключающийся в мысленном соединении («склеивании») частей или свойств различных объектов в один целостный образ."
general-psych,Типизация,"Сложный творческий прием воображения, состоящий в выделении существенных признаков группы людей и их ярком воплощении в одном образе."
general-psych,Аффект,"Сильное, бурно протекающее, взрывное и кратковременное эмоциональное состояние с временной потерей сознательного волевого контроля."
general-psych,Фрустрация,"Эмоционально-тяжелое состояние, возникающее при столкновении с непреодолимыми препятствиями на пути к достижению жизненно важной цели."
general-psych,Контейнирование,Интерперсональная способность Эго выдерживать и перерабатывать интенсивные эмоциональные переживания (свои или чужие) без разрушения.
general-psych,Защитные механизмы,"Неосознаваемые психические процессы автоматической регуляции, направленные на минимизацию тревоги и защиту сознания (Эго) от стресса."
