ticket_id,book_id
1,6
1,9
2,6
2,7
3,6
3,10
4,6
4,10
5,10
5,9
6,10
6,6
7,9
7,10
8,6
8,9
9,10
9,6
10,10
10,9
11,6
12,8
12,6
13,6
14,8
14,10
15,6
15,9
16,9
16,6
17,6
17,9
18,6
18,7
19,7
19,6
20,6
20,8
21,9
21,6
22,6
22,9
23,6
24,6
24,9
25,7
25,6
26,9
26,7
27,9
27,7
28,7
28,10
29,11
29,13
30,11
30,14
31,11
31,13
32,11
32,3
33,11
33,14
34,13
34,11
35,11
35,10
36,13
36,11
37,11
37,15
38,14
38,13
39,11
39,14
40,14
40,11
41,11
41,12
42,15
42,12
43,11
43,14
44,11
44,13
45,17
45,19
45,20
46,17
46,1
46,3
47,17
47,20
47,1
48,17
48,19
48,20
49,17
49,3
49,20
50,17
50,20
50,19
51,17
51,20
52,17
52,6
52,10
53,17
54,17
55,20
55,17
56,20
56,17
56,3
57,20
57,17
57,3
58,20
58,17
59,20
59,17
59,5
60,20
60,17
60,19
61,20
61,16
62,20
62,17
62,16
63,7
63,16
63,17
64,18
64,20
64,16
65,17
65,3
66,17
66,20
67,1
67,17
68,17
68,10
68,19
69,17
69,3
69,10
70,20
70,18
70,17
71,17
71,19
71,7
72,17
72,6
72,10
73,17
73,19
73,20
74,17
74,7
74,20
75,17
75,18
75,20
76,16
76,17
76,19
77,16
77,20
77,19
78,16
78,17
78,20
79,16
79,17
79,19
80,18
80,16
80,20
81,16
81,17
81,19
82,16
82,19
83,17
83,1
84,17
84,19
84,1
85,1
85,17
86,17
86,19
86,20
87,20
87,17
87,18
88,20
88,19
88,17
89,18
89,20
89,17
90,20
90,17
90,19
91,17
91,20
91,16
93,17
93,10
93,19
94,17
94,19
94,20
95,17
95,19
96,17
96,1
97,20
97,17
97,19
98,17
98,10
98,19
