discipline_id,title,content,sort_order
general-psych,"1. Предмет, функции и принципы психологии","<h3>Проблема предмета психологии</h3><p>Психология является полипредметной наукой: её предмет закономерно трансформировался в процессе исторического развития. В V-VI вв. до н.э. она зарождалась как <b>наука о душе</b> (Аристотель). В XVII веке, с появлением метода интроспекции, она развивалась как <b>наука о сознании</b> (В. Вундт, Р. Декарт). В начале XX века бихевиоризм провозгласил её <b>наукой о поведении</b>. В современной науке предметом изучения выступают объективные законы, механизмы и структуры человеческой психики.</p><h3>Основные функции психики</h3><p>Отечественная психологическая наука выделяет четыре ключевые функции психики:<br>1. <b>Когнитивная (психическое отражение)</b> — активное, правильное отражение объективной реальности, преломляющееся через индивидуальность человека и носящее опережающий характер.<br>2. <b>Коммуникативная</b> (Б.Ф. Ломов) — обеспечение полноценного общения и взаимодействия между живыми существами.<br>3. <b>Регулятивная</b> — управление и регуляция поведения и практической деятельности человека.<br>4. <b>Функция творческой активности</b> (Я.А. Пономарев) — созидание нового, уникальная функция, присущая исключительно человеку.</p><h3>Научные принципы психологии</h3><p>Теоретические исследования и практика опираются на три фундаментальных академических принципа:<br>• <b>Принцип детерминизма</b> — признание причинной обусловленности психических явлений внешними факторами и социальными условиями жизни.<br>• <b>Принцип системности</b> — требование исследовать психику как целостное, многоуровневое образование, элементы которого неразрывно связаны.<br>• <b>Принцип развития (генетический)</b> — изучение психических процессов в их динамике, онтогенезе и филогенезе, отслеживание качественных изменений во времени.</p>",0
general-psych,2. Функции психики и феномен психического отражения,"<h3>Природа психического отражения</h3><p><b>Психическое отражение</b> — это сложный, динамический и изменчивый процесс активного воссоздания характеристик окружающей среды в структуре нервной системы субъекта. В отличие от зеркального или физического отражения (которое пассивно и мёртво), психическая форма отражения субъективна по носителю и объективна по содержанию. Любое внешнее воздействие среды всегда преломляется через ранее сформированный жизненный опыт, внутренние фильтры, установки и текущие состояния человека. Именно поэтому один и тот же стимул может качественно по-разному отражаться разными людьми.</p><h3>Фундаментальные характеристики психического отражения</h3><p>Академическая психология выделяет пять ключевых свойств перцептивного и ментального отражения реальности:<br>• <b>Активность</b> — психика не просто регистрирует сигналы, а непрерывно ищет информацию, выдвигает гипотезы и меняет структуру образа в процессе деятельности.<br>• <b>Субъективность (преломление через индивидуальность)</b> — мир воспринимается сквозь призму личностных смыслов, мотивов, эмоций и уникальной биографии человека.<br>• <b>Правильность (адекватность)</b> — отражение обеспечивает объективно верное понимание реальности, достаточное для успешного выживания и адаптации особи.<br>• <b>Опережающий характер</b> — способность психики прогнозировать ход будущих событий, просчитывать результаты действий до их физического начала (эффект опережающего отражения реальности).<br>• <b>Способность к совершенствованию</b> — перцептивные образы и понятийные структуры развиваются, усложняются и становятся более точными в процессах обучения и накопления опыта.</p><h3>Эволюционные формы отражения в филогенезе</h3><p>В зависимости от уровня развития живой материи, выделяют следующие исторические формы отражения:<br>1. <i>Физико-химическое отражение</i> (присуще неживой природе и простейшим) — механические следы, изменение структуры под воздействием физических сил.<br>2. <i>Биологическое отражение</i> (раздражимость) — способность живых организмов реагировать на биологически значимые воздействия среды (например, тропизмы у растений).<br>3. <i>Психическое отражение</i> (чувствительность по А.Н. Леонтьеву) — способность реагировать на биологически нейтральные, но несущие сигнальную функцию раздражители (звук, свет, запах). Высшей формой психического отражения является человеческое <b>сознание</b>.</p>",1
general-psych,3. Научные принципы и фундаментальные проблемы психологии,"<h3>Методологические принципы психологии</h3><p>Академические исследования и психологическая практика базируются на трех китах отечественной методологии, которые определяют логику научного познания:<br>1. <b>Принцип детерминизма</b> — утверждает, что все психические явления причинно обусловлены. В трактовке С.Л. Рубинштейна этот закон формулируется как «внешние причины действуют через внутренние условия». Психика человека детерминирована не только биологическими факторами (устройством нервной системы), но и социокультурной средой, воспитанием и обучением.<br>2. <b>Принцип системности</b> — требует исследовать психику как целостную, многоуровневую систему. Нельзя понять природу личности, просто изучив отдельные процессы (память или эмоции). Все элементы связаны межфункциональными связями, образуя качественно новые интегративные свойства.<br>3. <b>Принцип развития (генетический)</b> — постулирует, что любое психическое явление можно адекватно понять только в процессе его непрерывного изменения, динамики и перехода от простых форм к сложным. Психика изучается в филогенезе (эволюция видов) и онтогенезе (развитие отдельного человека).</p><h3>Категориальный строй психологии</h3><p>Научное знание структурируется вокруг базовых понятий. Психологическая наука опирается на три уровня категорий:<br>• <i>Философские</i> (отражение, бытие, сознание, материя);<br>• <i>Общенаучные</i> (система, структура, функция, развитие, элемент);<br>• <i>Общепсихологические</i> (психика, деятельность, личность, мотив, образ, общение).</p><h3>Теоретические и практические задачи науки</h3><p>Фундаментальные задачи психологии (по С.Л. Рубинштейну) направлены на раскрытие законов зарождения и функционирования психической реальности. Прикладные и практические задачи (по Б.Ф. Ломову) включают в себя создание методов психологической помощи, оптимизацию условий труда, психологическое сопровождение образования и разработку развивающих программ.</p><h3>Четыре сквозные проблемы психологии</h3><p>В процессе теоретических споров в науке сформировались четыре ключевые проблемы, вокруг которых строятся все дискуссии:<br>• <b>Психофизиологическая проблема</b> — вопрос о соотношении психических явлений и их материального субстрата (как идеальные мысли связаны с физиологической работой головного мозга).<br>• <b>Психосоциальная проблема</b> — исследование механизмов взаимодействия биологического (природного) и социального (культурного) факторов в структуре человеческой личности.<br>• <b>Психопрактическая проблема</b> — изучение взаимосвязи психики и практической деятельности человека (как внутренний мир направляет поступки и как сама деятельность меняет сознание).<br>• <b>Психогностическая проблема</b> — вопрос о степени адекватности, точности и полноты отображения объективной реальности в чувственных и умственных образах человека.</p>",2
general-psych,4. Отрасли психологии и классификация наук,"<h3>Место психологии в системе наук (Треугольник Кедрова)</h3><p>Уникальное академическое положение психологии в системе научного знания наглядно описывает классификация наук, предложенная отечественным философом <b>Б.М. Кедровым</b>. Он разработал схему в виде треугольника, вершины которого представляют три главные группы наук:<br>1. <i>Естественные науки</i> (изучающие природу и физический мир);<br>2. <i>Общественные / гуманитарные науки</i> (изучающие социум, культуру и историю);<br>3. <i>Философские науки</i> (изучающие общие законы бытия и познания, включая логику).</p><p><b>Психология</b> занимает центральное, междисциплинарное место внутри этого треугольника, выполняя функцию интегратора. Она неразрывно связана с естествознанием через изучение биологических основ психики (работы головного мозга и органов чувств), с гуманитарными науками — через исследование личности в социуме, и с философией — через проблемы сознания и познания мира.</p><h3>Критерии классификации отраслей психологии</h3><p>Из-за широты своего предмета современная психология представляет собой разветвленную систему дисциплин. В качестве главных оснований для выделения отраслей выступают: <b>цель деятельности</b> (теоретическая или практическая), <b>субъект развития</b> (возраст, профессия, норма или патология) и <b>характер деятельности</b> человека.</p><h3>Академические подходы к классификации отраслей</h3><p>В учебном процессе студенту-психологу необходимо четко дифференцировать три ведущие классификационные системы:<br>• <b>Классификация по Березанской</b> делит науку на четыре уровня: 1) <i>Общая психология</i> (фундамент, изучающий общие законы психики); 2) <i>Фундаментальные специальные отрасли</i> (изучают конкретный аспект психической реальности, например, возрастная или дифференциальная психология); 3) <i>Междисциплинарные специальные отрасли</i> (возникшие на стыке наук, например, психофизиология и психогенетика); 4) <i>Прикладные отрасли</i> (связанные с практикой, например, психология спорта или рекламы).<br>• <b>Классификация К.К. Платонова</b> группирует отрасли по трем магистральным направлениям: 1) <i>По характеру труда и деятельности</i> (инженерная, авиационная, военная, медицинская психология); 2) <i>По развитию психики</i> (сравнительная психология животных, возрастная психология, специальная психология дефектологии); 3) <i>По принципу отношения личности и общества</i> (социальная психология и психология личности).<br>• <b>Официальная классификация ВАК РФ</b> (Высшей аттестационной комиссии) необходима для научно-исследовательской работы и защиты диссертаций. Она закрепляет строгие научные специальности, среди которых: общая психология и история психологии, психология развития, социальная и политическая психология, медицинская (клиническая) психология, педагогическая психология, юридическая психология, а также организационная психология и психология труда.</p>",3
general-psych,5. Классификация методов психологии (по С.Л. Рубинштейну и Б.Г. Ананьеву),"<h3>Методологическое значение классификации методов</h3><p>Метод исследования в психологии — это путь и способ научного познания, с помощью которого устанавливаются объективные факты, закономерности и механизмы психики. Поскольку психология находится на стыке естественных и гуманитарных наук, её инструментарий чрезвычайно широк. Для упорядочивания этого инструментария в отечественной науке были разработаны две фундаментальные классификационные системы, созданные С.Л. Рубинштейном и Б.Г. Ананьевым.</p><h3>Классификация методов по С.Л. Рубинштейну</h3><p>Сергей Леонидович Рубинштейн исходил из сформулированного им <i>принципа единства сознания и деятельности</i>. Он утверждал, что психика не просто проявляется, но и формируется в процессе практической деятельности. На основе этого он выделил две основные группы методов:<br>1. <b>Метод наблюдения</b> — целенаправленное, систематическое изучение человека на основе восприятия его внешних действий и поступков в естественных условиях. Делится на внешнее (объективное) наблюдение и самонаблюдение (интроспекцию).<br>2. <b>Метод эксперимента</b> — активное вмешательство исследователя в деятельность испытуемого с целью создания контролируемых условий для проверки научной гипотезы. Рубинштейн разделял его на лабораторный (в искусственных условиях аппаратуры) и естественный (проводимый в привычной для человека среде, например, в классе во время урока).</p><h3>Комплексная классификация по Б.Г. Ананьеву</h3><p>Наиболее развернутой и общепринятой в академической среде является классификация Бориса Герасимовича Ананьева. Он объединил все методы психологического познания в четыре сквозные магистральные группы, соответствующие этапам любого научного исследования:<br>• <b>I. Организационные методы</b> — определяют общую стратегию и логику построения исследования. Сюда входят: <i>сравнительный метод</i> (сопоставление данных разных групп, например, мнемических процессов у дошкольников и школьников); <i>лонгитюдный метод</i> (длительное, многолетнее прослеживание динамики психики одних и тех же лиц); <i>комплексный метод</i> (изучение объекта силами разных наук — психологии, физиологии, социологии).<br>• <b>II. Эмпирические методы</b> — служат для непосредственного сбора первичных научных данных. Включают подгруппы: обсервационные (наблюдение и самонаблюдение); экспериментальные (лабораторный, естественный и формирующий эксперимент); психодиагностические (тесты стандартизированные и проективные, опросники, анкетирование); праксиметрические (анализ продуктов деятельности, хронометрия рабочих движений); биографические (анализ фактов, жизненных документов и событий жизненного пути человека); моделирование (математическое, кибернетическое воссоздание структуры психических процессов).<br>• <b>III. Методы обработки данных</b> — используются для качественного и количественного анализа собранного эмпирического материала. Сюда относятся методы математической статистики (количественный анализ, факторный анализ, корреляционный анализ) и методы качественного описания (контент-анализ текстовых материалов, типологизация).<br>• <b>IV. Интерпретационные методы</b> — теоретические способы осмысления и объяснения причин выявленных закономерностей. Ананьев выделяет: <i>генетический метод</i> (объяснение явлений через раскрытие вертикальных связей в их развитии, филогенезе и онтогенезе) и <i>структурный метод</i> (описание горизонтальных связей между частями и целым, определение места функции в целостной структуре личности).</p>",4
general-psych,"6. Наблюдение как метод психологии: виды, требования и ограничения","<h3>Сущность научного наблюдения</h3><p><b>Наблюдение</b> — это метод целенаправленного, систематического и преднамеренного восприятия внешних проявлений психики человека или животных в естественных условиях среды. Оно относится к обсервационной группе эмпирических методов. В отличие от житейского, научное наблюдение всегда опирается на строгую исследовательскую программу, имеет четкую цель, гипотезу и систему фиксации фактов. Исторически наблюдение за поведением приматов в естественной среде или видеозапись движений новорожденного в первые дни жизни становились отправными точками для фундаментальных открытий в науке.</p><h3>Основные виды наблюдения</h3><p>В зависимости от позиции исследователя и характера организации процедуры, выделяют следующие виды наблюдения:<br>• <i>По позиции наблюдателя</i>: включенное (экспериментатор становится активным членом изучаемой группы) и скрытое / невключенное (исследователь изучает объект со стороны, не обнаруживая себя).<br>• <i>По степени стандартизации</i>: структурированное (проводится по жестко заданной схеме с готовыми бланками регистрации конкретных актов поведения) и свободное (фиксируются любые проявления без жестких рамок).<br>• <i>По месту проведения</i>: полевое (в естественных условиях жизни, школы или труда) и лабораторное (в специально созданных условиях, часто с использованием зеркала Гезелла или видеокамер).<br>• <i>По регулярности</i>: систематическое (проводится регулярно в течение заданного периода) и эпизодическое (фиксируются кратковременные или уникальные феномены).<br>• Separate-видом выступает <b>самонаблюдение (интроспекция)</b> — изучение субъектом собственных психических процессов, состояний и переживаний. Самонаблюдение является важным показателем уровня развития самосознания человека, но носит субъективный характер.</p><h3>Академические требования к научному наблюдению</h3><p>Для обеспечения объективности данных, метод требует неукоснительного соблюдения следующих правил:<br>1. <b>Целенаправленность</b> — перед началом процедуры формулируются четкая цель и задачи, вытекающие из научной гипотезы.<br>2. <b>Систематичность и многократность</b> — наблюдение должно проводиться неоднократно через определенные интервалы времени, чтобы исключить влияние случайных факторов.<br>3. <b>Естественность условий</b> — испытуемый должен находиться в привычной для себя обстановке и, как правило, не должен знать, что за ним наблюдают (для исключения эффекта реактивности).<br>4. <b>Обязательное ведение дневника</b> — фиксация фактов должна осуществляться непосредственно в процессе наблюдения или сразу после его окончания по строго фиксируемой схеме.<br>5. <b>Объективность и верифицируемость</b> — наблюдатель должен фиксировать только реальные, поведенческие факты (действия, слова, мимику), а не свои личные интерпретации или домыслы. Проверка объективности достигается повторными наблюдениями или привлечением независимых экспертов.</p><h3>Достоинства и критические недостатки метода</h3><p><b>Главное достоинство</b> метода заключается в возможности изучать психические явления в их естественном, подлинном виде, без искусственного искажения со стороны аппаратуры или лабораторных инструкций.<br><b>Основные недостатки:</b><br>• Пассивная позиция исследователя — экспериментатор вынужден ожидать, пока интересующее его психическое явление или действие произойдет само по себе, и не может ускорить этот процесс.<br>• Проблема высокой субъективности интерпретации — на результаты сильно влияют личностные особенности самого наблюдателя: его функциональные качества (внимательность, память), характер, темперамент и личные предубеждения.<br>• Ретроспективные искажения в истории индивида (аналоге медицинской истории болезни), когда биография человека восстанавливается по его воспоминаниям и записям после начала проблем, что неизбежно ведет к упущению важных фактов.</p>",5
general-psych,"7. Эксперимент в психологии: переменные, виды и схемы А.Р. Лурия","<h3>Сущность и специфика психологического эксперимента</h3><p><b>Эксперимент</b> — это самый эффективный и строгий метод психологического исследования, суть которого заключается в активном, целенаправленном вмешательстве экспериментатора в деятельность испытуемого. В отличие от метода наблюдения, где исследователь занимает пассивную позицию, в эксперименте ученый сам создает, дозирует и изменяет условия протекания психических процессов, чтобы проверить причинно-следственную гипотезу и выяснить точные взаимосвязи между изучаемыми переменными.</p><h3>Понятийный аппарат экспериментального метода</h3><p>Для организации и грамотной интерпретации результатов эксперимента используется строгая академическая терминология:<br>• <b>Гипотеза</b> — научно обоснованное утверждение о возможной причинно-следственной связи между явлениями, подлежащее обязательной проверке.<br>• <b>Переменная</b> — любой психический, поведенческий или внешний фактор, участвующий в исследовании и способный принимать различные количественные или качественные значения.<br>• <b>Независимая переменная</b> — фактор, которым экспериментатор целенаправленно манипулирует, изменяет или дозирует (например, количество часов без сна, доза лекарства, сложность инструкции). Она не зависит от действий участников.<br>• <b>Зависимая переменная</b> — психический процесс или поведенческая реакция, которая изменяется под влиянием независимой переменной. Она является функцией от независимой переменной (например, объем кратковременной памяти, скорость реакции).<br>• <b>Экспериментальная группа</b> — выборка испытуемых, в работе с которыми присутствует или целенаправленно изменяется изучаемое условие (независимая переменная).<br>• <b>Контрольная группа</b> — группа, находящаяся в максимально идентичных условиях, но в ней полностью отсутствует изучаемое воздействие. Сравнение средних арифметических (статистических мер) этих двух групп позволяет доказать, что разница «статистически значима» и заслуживает доверия, а не возникла случайно.<br>• <b>Многофакторный эксперимент</b> — сложное исследование, в котором ученый одновременно манипулирует несколькими независимыми переменными.</p><h3>Классификация видов эксперимента</h3><p>По условиям проведения и степени контроля за факторами эксперимент разделяют на три основных вида:<br>1. <b>Лабораторный эксперимент</b> — проводится в специально оборудованных помещениях с использованием точной аппаратуры (например, метод психических реакций: простой, сенсорной, моторной, реакции выбора). Обеспечивает максимальную чистоту контроля переменных, но искажает естественность поведения.<br>2. <b>Естественный эксперимент</b> (впервые предложен А.Ф. Лазурским) — проводится в привычных для испытуемого условиях (например, школьный класс во время урока, рабочее место). Испытуемые не догадываются о своей роли, что сохраняет естественность реакций при частичном контроле условий.<br>3. <b>Формирующий (психолого-педагогический) эксперимент</b> — метод активного обучения и развития, при котором исследователь не просто фиксирует наличный уровень психики, а целенаправленно проектирует, конструирует и формирует определенные качества или ВПФ в процессе специально организованного взаимодействия.</p><h3>Виды эксперимента в классификации А.Р. Лурия</h3><p>Выдающийся отечественный психолог Александр Романович Лурия выделил три специфических методологических подхода к реализации экспериментальных задач:<br>• <b>Эксперимент как метод структурного анализа</b> — направлен на выделение, расчленение и детальный анализ внутренней психологической структуры сложного психического процесса (например, как устроена высшая регуляция внимания или мышления).<br>• <b>Эксперимент как экспериментально-генетический метод</b> — используется для прослеживания стадий развития психической функции во времени методом возрастных срезов или в процессе её непосредственного генезиса.<br>• <b>Эксперимент как экспериментально-патологический метод</b> — классический инструмент патопсихологии и нейропсихологии. Заключается в сравнительном анализе комплекса изменений и распадов психической деятельности при локальных поражениях головного мозга или психических заболеваниях, что позволяет глубже понять устройство здоровой психики.</p><h3>Достоинства и недостатки метода</h3><p><b>Достоинства:</b> возможность выявления подлинных причинно-следственных связей; точный количественный учет условий; возможность повторения (репликации) исследования; сбор данных на больших выборках.<br><b>Недостатки:</b> искусственность условий в лаборатории (снижение экологической валидности); высокая стоимость оборудования; этические ограничения на манипуляцию личностью человека; сильное влияние личности экспериментатора и его ожиданий на испытуемых.</p>",6
general-psych,8. Метод тестов в психологии: психометрика и проективные техники,"<h3>Сущность тестового метода в психологии</h3><p><b>Тест</b> (в переводе с английского — проба, испытание) — это краткое, стандартизированное, ограниченное во времени психологическое испытание, предназначенное для установления межиндивидуальных различий в сравнительных величинах. Метод тестов относится к группе корреляционных исследований. Он позволяет собирать колоссальные объемы данных о психологических особенностях больших групп людей с минимальным отрывом их от повседневных дел и без применения сложной лабораторной аппаратуры. Важно помнить, что в отличие от эксперимента, выявляющего жесткие причинно-следственные связи, метод тестов фиксирует лишь наличие статистических взаимосвязей (корреляций) между переменными.</p><h3>Фундаментальные психометрические критерии</h3><p>Любая научная тестовая методика должна обладать тремя ключевыми психометрическими характеристиками, определяющими точность и научную обоснованность её результатов:<br>• <b>Стандартизация</b> — обеспечение единообразия всей процедуры проведения и оценки выполнения методики. Она включает унификацию инструкций, бланков, временных рамок и условий проведения. С другой стороны, стандартизация означает создание объективной шкалы для интерпретации результатов: сырые баллы испытуемого всегда сравниваются с нормами, полученными эмпирическим путем при обследовании репрезентативной выборки стандартизации.<br>• <b>Надежность</b> — критерий, отражающий постоянство, устойчивость, воспроизводимость и согласованность результатов теста при его повторном применении на одних и тех же испытуемых (например, метод «тест-ретест» через временной интервал или метод расщепления теста на четные и нечетные задания).<br>• <b>Валидность</b> — комплексная характеристика, отражающая пригодность методики для измерения именно того психического свойства, качества или процесса, для оценки которого она создавалась. Тест признается валидным, если он действительно измеряет задекларированный автором конструкт, а не сопутствующие факторы.</p><h3>Академическая классификация тестов</h3><p>В отечественной традиции (по Б.Г. Ананьеву) тесты классифицируют по предмету диагностики и способу реализации:<br>1. <i>Тесты достижений</i> — направлены на объективную оценку уровня овладения конкретными учебными или профессиональными знаниями, умениями и навыками.<br>2. <i>Собственно психологические тесты</i>, которые по содержанию делятся на три класса:<br>• <b>Тесты способностей</b> — измеряют уровень развития отдельных психических функций и сенсомоторных качеств (памяти, внимания, пространственного воображения);<br>• <b>Тесты интеллекта</b> — направлены на оценку общего уровня умственного развития (например, культурно-свободный тест Р. Кеттелла, шкала Векслера, тест структуры интеллекта Амтхауэра);<br>• <b>Личностные тесты</b> — изучают устойчивые свойства личности. Они реализуются в виде личностных опросников (факторный опросник 16PF Р. Кеттелла, опросник ИТДО Л.Н. Собчик, многофакторный опросник MMPI) или шкал темперамента (методика Д. Кейрси).<br>3. <i>Социально-психологические тесты</i> — предназначены для оценки межличностных отношений в группах (например, метод социометрии).</p><h3>Специфика и виды проективных техник</h3><p>Особое место занимают <b>проективные тесты</b>, при работе с которыми испытуемому предлагается реагировать на неопределенную, многозначную или слабоструктурированную стимульную ситуацию. В основе этого метода лежит психологический механизм <i>проекции</i> — бессознательное наделение других людей, предметов или сюжетов собственными скрытыми мыслями, подавленными переживаниями, мотивами, комплексами и чертами характера. Характер ответов и фантазий человека детерминирован структурой его уникальной личности, которая проецируется на стимульный материал.</p><p>Классические проективные методики делятся на несколько типов:<br>• <i>Методики интерпретации</i>: Тест тематической апперцепции (<b>ТАТ</b>), где испытуемому необходимо составить развернутые динамические рассказы на основе двусмысленных сюжетных картинок. Позволяет выявить базовые психогенные потребности личности (в достижении, аффилиации, доминировании).<br>• <i>Методики структурирования</i>: <b>Тест Роршаха</b>, требующий интерпретации неопределенных симметричных чернильных пятен. Оценивает особенности восприятия и эмоционально-волевой сферы.<br>• <i>Экспрессивные (рисуночные) методики</i>: Тест «Рисунок несуществующего животного», «Дом-Дерево-Человек». Проекция личностных смыслов и скрытых страхов осуществляется через особенности графического изображения, нажим карандаша и пространственное расположение рисунка.</p><h3>Достоинства и недостатки метода тестов</h3><p><b>Достоинства</b>: оперативность сбора данных, стандартизация оценок, независимость результатов от личных симпатий исследователя, легкость математико-статистической обработки.<br><b>Недостатки</b>: опасность поверхностного тестирования («навешивания ярлыков»); уязвимость опросников к феномену социальной желательности ответов (испытуемые сознательно пытаются выставить себя в более благоприятном свете); жесткие требования к профессиональной этике и квалификации психолога.</p>",7
