id,title,author,annotation
1,Педагогическая психология,Зимняя И.А.,"Фундаментальный учебник, раскрывающий структуру, предмет и задачи педагогической психологии, особенности образовательного процесса и его субъектов (педагога и обучающегося)."
2,Педагогическая психология,Талызина N.Ф.,"В пособии подробно излагаются основы деятельностной теории учения Л.С. Выготского и А.Н. Леонтьева, описываются механизмы управления процессом усвоения знаний."
3,Психодиагностика: теория и практика,Акимова М.К.,"Базовый учебник по психолого-педагогической диагностике. Подробно разбирает классификацию методов, формализованные и малоформализованные методики, интервью и научное наблюдение."
4,Методы исследования детей с трудностями обучения,Лусканова Н.Г.,"Практическое руководство, включающее знаменитую анкету оценки уровня школьной мотивации учащихся начальных классов и проективные рисуночные пробы."
5,Половозрастная идентификация. Методика исследования самосознания,Белопольская Н.Л.,"Руководство по использованию знаковой проективной методики для исследования уровня сформированности адекватного Я-настоящего, Я-прошлого и Я-будущего у детей от 4 до 12 лет."
6,Основы общей психологии,Рубинштейн С.Л.,"Фундаментальный труд отечественной науки. Раскрывает базовые методологические принципы психологии, теорию единства сознания и деятельности, а также дает глубокий анализ познавательных, сквозных и эмоционально-волевых процессов человека."
7,Деятельность. Сознание. Личность,Леонтьев А.Н.,"Классическая монография, заложившая основы деятельностного подхода в психологии. Подробно описывает структуру деятельности, теорию потребностей, происхождение мотивационной сферы человека и феномен 'сдвига мотива на цель'."
8,Эволюционное введение в психологию,Лурия А.Р.,"Учебное пособие выдающегося нейропсихолога. Раскрывает закономерности возникновения и развития психики в филогенезе, переход от раздражимости к чувствительности, а также материальные основы и мозговые механизмы психической деятельности."
9,Введение в общую психологию,Гиппенрейтер Ю.Б.,"Один из лучших и самых доступных академических учебников для студентов первого курса. В понятной, но строго научной форме раскрывает проблему предмета психологии, метод интроспекции, основы бихевиоризма, неосознаваемые процессы и психологию внимания."
10,Человек как предмет познания,Ананьев Б.Г.,"Базовый труд, посвященный комплексной структуре человеческой индивидуальности. Раскрывает теорию четырех уровней организации человека (индивид, субъект деятельности, личность, индивидуальность) и содержит авторскую классификацию методов психологии."
11,Социальная психология,Андреева Г.М.,"Главный академический учебник по дисциплине в СНГ. Дает глубокий теоретический анализ трех главных китов науки: общения (коммуникация, интеракция, перцепция), психологии малых и больших групп, а также социально-психольных проблем личности."
12,Психология коллектива,Донцов А.И.,"Учебное пособие, посвященное психологии малых групп. Подробно разбирает проблемы интеграции, консолидации, совместной деятельности, а также развивает стратометрическую концепцию коллективообразования."
13,Социальная психология,Крылов А.А. (ред.),"Практико-ориентированный учебник. Раскрывает психологию социального поведения личности, природу статусов, ролей, особенности формирования аттитюдов и закономерности поведения стихийных групп и толпы."
14,Социальная психология,Майерс Д.,"Мировой бестселлер, написанный живым языком. Превосходно раскрывает когнитивные феномены: социальное восприятие, каузальную атрибуцию, когнитивный диссонанс, парадокс Лапьера и модели убеждающей коммуникации."
15,Психологическая теория коллектива,Петровский А.В.,"Фундаментальный труд, заложивший основы стратометрической теории. Описывает уровни развития малых групп (от конгломерата до коллектива) и механизмы деятельностного опосредования межличностных отношений."
16,Детская психология,Смирнова Е.О.,"Академическое руководство по психологии раннего и дошкольного возраста. Подробно рассматривает теории Ж. Пиаже, Л.С. Выготского, А.Н. Леонтьева, а также психологию детской игры и формы общения со взрослыми."
17,Психология развития человека,Сапогова Е.Е.,"Фундаментальное учебное пособие, раскрывающее понятийный аппарат онтогенеза. Подробно анализирует феномен возрастной нормы, методологические подходы к её оценке и структуру психологического возраста."
18,Избранные психологические труды,Эльконин Д.Б.,"Классический труд, содержащий психологическую теорию детской игры и периодизацию психического развития, основанную на закономерном чередовании систем отношений."
19,Возрастная психология: феноменология развития,Мухина В.С.,"Учебник, детально описывающий особенности когнитивного, эмоционального и личностного генезиса на всех этапах жизненного пути — от пренатального периода до геронтопсихологии."
20,Возрастная психология,Обухова Л.Ф.,"Уникальное издание, содержащее глубокий сравнительный анализ всех ключевых зарубежных концепций (бихевиоризм, этология, психоанализ) и отечественной культурно-исторической школы."
