id,discipline_id,number,title,recommend_time,plan,content
1,general-exam,1,"Проблема предмета психологии: объект, предмет и основные этапы развития. Полипредметность науки.",5-7 мин,1. Различие объекта и предмета в психологии. 2. Феномен полипредметности. 3. Четыре исторических этапа развития предмета. 4. Естественный и гуманитарный подходы (номотетические и идеографические науки). 5. Категории описания психических явлений.,"<h3>Вопрос 1. Проблема предмета психологии</h3><p>В методологии науки <b>объектом</b> психологии признается психика как свойство высокоорганизованной материи, а <b>предметом</b> — конкретные законы, механизмы и структуры её функционирования. Психология является <b>полипредметной наукой</b>, так как её предмет закономерно трансформировался в процессе исторического развития:</p><ul><li><b>1 этап (V-VI вв. до н.э.): Наука о душе.</b> Закреплен в трактате Аристотеля «О душе». Душа понималась как первооснова жизни.</li><li><b>2 этап (XVII в.): Наука о сознании.</b> Связан с Р. Декартом и В. Вундтом. Главным инструментом признавался метод <b>интроспекции</b> (самонаблюдения). В <b>1879 году</b> Вундт открыл первую в мире экспериментальную лабораторию в Лейпциге. Большой вклад в этот период внес и Т. Фехнер.</li><li><b>3 этап (начало XX в.): Наука о поведении.</b> Возник как кризис интроспекции. <b>Бихевиоризм</b> (Дж. Уотсон) провозгласил предметом поведение (схема С-Р). Параллельно возникли гештальтпсихология и психоанализ З. Фрейда.</li><li><b>4 этап (середина XX в. - по сей день): Наука о механизмах и закономерностях психики.</b> Изучает объективные законы и структуру психической реальности.</li></ul><p>Психология находится на стыке естественных и гуманитарных дисциплин, сочетая <b>номотетический подход</b> (ориентирован на поиск общих законов и проведение квантифицируемых экспериментов) и <b>идеографический подход</b> (направлен на описание уникальности конкретной личности). Все психические явления традиционно описываются через три класса понятий: <i>психические процессы</i> (когнитивные и регуляторные), <i>психические состояния</i> (устойчивый уровень активности) и <i>психические свойства</i> (стабильные атрибуты личности — темперамент, характер, способности).</p>"
2,general-exam,2,Основные функции психики. Феномен и характеристики психического отражения.,5-6 мин,1. Природа психического отражения. 2. Четыре функции психики в отечественной методологии. 3. Основные формы отражения. 4. Пять ключевых характеристик психического отражения.,"<h3>Вопрос 2. Функции психики и природа психического отражения</h3><p><b>Психическое отражение</b> — это активный, изменчивый процесс субъективного воссоздания характеристик объективного мира в структуре нервной системы. В отличие от физического отражения, оно субъективно по форме (всегда принадлежит конкретному человеку) и объективно по содержанию. Любое внешнее воздействие всегда преломляется через ранее сложившиеся особенности психики и состояния человека.</p><p>Выделяют <b>пять фундаментальных характеристик</b> психического отражения:<br>1) <i>Активное</i> (постоянно ищет информацию и меняется в процессе деятельности);<br>2) <i>Правильное (адекватное)</i> (объективно верно отображает реальность для успешного выживания);<br>3) <i>Преломляется через индивидуальность</i> (мир воспринимается сквозь призму личных смыслов и уникальной биографии);<br>4) <i>Совершенствуется</i> (структуры усложняются в процессе обучения);<br>5) <i>Носит опережающий характер</i> (позволяет прогнозировать ход событий до их начала).</p><p>Отечественная наука выделяет <b>четыре функции психики</b>:<br>• <b>Когнитивная (психическое отражение)</b> — активное построение перцептивного и понятийного образа реальности.<br>• <b>Регулятивная</b> — непрерывное управление, регуляция поведения и практической деятельности.<br>• <b>Коммуникативная</b> (Б.Ф. Ломов) — обеспечение полноценного общения и взаимодействия между живыми существами.<br>• <b>Функция творческой активности</b> (Я.А. Пономарев) — созидание принципиально нового, свойственное исключительно человеку.</p>"
3,general-exam,3,Научные принципы в психологии.,5-6 мин,1. Определение методологических принципов. 2. Принцип детерминизма. 3. Принцип развития (генетический). 4. Принцип системности.,"<h3>Вопрос 3. Фундаментальные научные принципы психологии</h3><p>Теоретические исследования и практика опираются на три фундаментальных академических принципа отечественной психологической школы:</p><ul><li><b>1. Принцип детерминизма.</b> Утверждает причинную обусловленность всех психических явлений внешними факторами и социальными условиями жизни. В классической трактовке С.Л. Рубинштейна закон формулируется так: <i>«Внешние причины действуют через внутренние условия»</i>. Психика человека обусловлена как биологическим субстратом мозга, так и социокультурной средой.</li><li><b>2. Принцип системности.</b> Требует исследовать психику как сложную, целостную, многоуровневую систему. Нельзя адекватно понять природу личности, просто изолированно изучив отдельные процессы (память, мышление или эмоции). Все элементы неразрывно связаны межфункциональными связями, образуя качественно новые интегративные свойства.</li><li><b>3. Принцип развития (генетический).</b> Постулирует изучение психических процессов в их непрерывной динамике, филогенезе (эволюции видов) и онтогенезе (развитии отдельного человека). Любая психическая функция может быть адекватно понята и объяснена только тогда, когда прослеживается путь её качественного изменения от простых форм к сложным.</li></ul>"
4,general-exam,4,"Категориальный строй, основные задачи и фундаментальные проблемы психологии.",6-8 мин,1. Три уровня категориального строя психологии. 2. Теоретические (С.Л. Рубинштейн) и практические (Б.Ф. Ломов) задачи науки. 3. Четыре сквозные проблемы психологии.,"<h3>Вопрос 4. Категории, задачи и проблемы психологии</h3><p><b>Категориальный строй</b> науки структурируется вокруг понятий трех уровней: <i>философские</i> (отражение, бытие, сознание, материя), <i>общенаучные</i> (система, structure, функция, элемент, развитие) и <i>общепсихологические</i> (психика, деятельность, личность, мотив, образ, общение).</p><p><b>Задачи психологии</b> разделяют на два класса:<br>• <i>Теоретические задачи</i> (сформулированы С.Л. Рубинштейном) — раскрытие объективных внутренних законов, механизмов формирования и проявления психической реальности.<br>• <i>Практические задачи</i> (описаны Б.Ф. Ломовым) — разработка научно обоснованных методов психологической поддержки, консультирования, оптимизации труда, обучения и создания развивающих программ.</p><p>В процессе научных дискуссий выделились <b>четыре сквозные проблемы</b> психологии:<br>1) <b>Психофизиологическая проблема</b> — вопрос об отношении психики к её телесному (материальному) субстрату, то есть о связи идеальных мыслей с физиологической работой мозга.<br>2) <b>Психосоциальная проблема</b> — исследование влияния социума на психику человека и наоборот; соотношение природного и социального в личности.<br>3) <b>Психопрактическая проблема</b> — влияние психики на внешнюю практическую деятельность человека и обратное воздействие деятельности на трансформацию сознания.<br>4) <b>Психогностическая проблема</b> — отношение чувственных и умственных образов к отражаемой ими объективной реальности; вопрос о границах и точности познания мира.</p>"
5,general-exam,5,Отрасли психологии. Место психологии в системе наук.,5-7 мин,1. Место психологии в системе наук по Б.М. Кедрову (классический треугольник). 2. Принципы деления психологии на отрасли. 3. Краткая характеристика основных академических и прикладных отраслей.,"<h3>Вопрос 5. Отрасли психологии и её место в системе наук</h3><p>Уникальность академического положения психологии наглядно иллюстрирует классификация наук академика <b>Б.М. Кедрова</b>. Он предложил схему в виде треугольника, вершины которого образуют <i>естественные</i>, <i>общественные (гуманитарные)</i> и <i>философские</i> науки. <b>Психология</b> занимает центральное место внутри этого треугольника. Она выполняет функцию интегратора: неразрывно связана с биологией через изучение мозгового субстрата психики, с социологией и историей — через исследование личности в группе, и с философией — через проблемы сознания, познания и категориального строя.</p><p>Современное психологическое знание дифференцировано на множество <b>оттраслей</b>. Основаниями для их выделения выступают: сфера практической деятельности, специфика развития субъекта и междисциплинарные связи. Традиционно выделяют следующие отрасли:<br>• <i>Общая психология</i> — изучает фундаментальные законы и когнитивные процессы, общие для всех людей;<br>• <i>Фундаментальные специальные</i> — возрастная (динамика онтогенеза), социальная (закономерности общения в группах), дифференциальная (индивидуальные различия);<br>• <i>Междисциплинарные специальные</i> — психофизиология (связь психики и ЦНС), специальная психология (развитие при ОВЗ);<br>• <i>Прикладные</i> — клиническая (патопсихология и дезадаптация), педагогическая (психология обучения), юридическая, психология труда и менеджмента.</p>"
6,general-exam,6,Классификация методов психологии по С.Л. Рубинштейну и Б.Г. Ананьеву.,5-6 мин,"1. Понятие метода исследования. 2. Две ведущие группы по С.Л. Рубинштейну. 3. Четыре магистральные группы по Б.Г. Ананьеву (организационные, эмпирические, обработки, интерпретационные).","<h3>Вопрос 6. Классификация методов по С.Л. Рубинштейну и Б.Г. Ананьеву</h3><p>Метод исследования — это путь и способ научного познания, с помощью которого устанавливаются объективные психологические факты. <b>С.Л. Рубинштейн</b>, опираясь на принцип единства сознания и деятельности, выделил две основные группы методов: <i>метод наблюдения</i> (внешнее объективное и самонаблюдение-интроспекция) и <i>метод эксперимента</i> (лабораторный и естественный).</p><p>Наиболее развернутой и общепринятой в академической среде является классификация <b>Б.Г. Ананьева</b>, разделяющая методы на четыре сквозные группы, соответствующие этапам любого эмпирического исследования:<br>• <b>1. Организационные методы:</b> определяют стратегию исследования. Сюда входят <i>сравнительный</i> (сопоставление групп), <i>лонгитюдный</i> (длительное многолетнее изучение одних и тех же лиц) и <i>комплексный</i>.<br>• <b>2. Эмпирические методы:</b> служат для сбора первичных данных. Включают обсервационные (наблюдение), экспериментальные (лабораторный, естественный, формирующий), психодиагностические (тесты, опросники), праксиметрические (анализ продуктов деятельности), биографические и моделирование.<br>• <b>3. Методы обработки данных:</b> количественный анализ (методы математической статистики, факторный анализ) и качественный анализ (контент-анализ, типологизация).<br>• <b>4. Интерпретационные методы:</b> теоретическое объяснение данных. Выделяют <i>генетический метод</i> (исследование вертикальных связей в развитии) и <i>структурный метод</i> (описание горизонтальных связей между частями и целым).</p>"
7,general-exam,7,Наблюдение как метод психологии.,5-7 мин,"1. Определение метода. 2. Академические требования к научному наблюдению. 3. Виды наблюдения (включенное, скрытое, стандартизированное). 4. Достоинства и недостатки метода.","<h3>Вопрос 7. Наблюдение как метод психологии</h3><p><b>Наблюдение</b> — это метод целенаправленного, систематического и преднамеренного восприятия внешних проявлений психики человека в естественных условиях среды. Наблюдение по Б.Г. Ананьеву делится на <i>наблюдение</i> (внешнее) и <i>самонаблюдение</i> (получение данных посредством фиксации субъектом собственных психических процессов).</p><p><b>Основные виды наблюдения:</b> включенное (исследователь становится членом группы) и невключенное (со стороны); структурированное (по жестким бланкам) и свободное; полевое (в естественной среде) и лабораторное (через стекло Гезелла).</p><p><b>Академические требования к научному наблюдению:</b><br>1) <i>Целенаправленность</i> — наличие четкой цели и задач, определяемых гипотезой;<br>2) <i>Систематичность</i> — проведение процедур неоднократно через временные интервалы;<br>3) <i>Естественность условий</i> — испытуемый не должен знать, что за ним наблюдают (избегание эффекта реактивности);<br>4) <i>Ведение дневника наблюдений</i> непосредственно в процессе или сразу после него;<br>5) <i>Объективность</i> — фиксация только реальных поведенческих фактов, а не их интерпретаций.</p><p><b>Достоинство:</b> изучение психических явлений в их естественном, подлинном виде. <br><b>Недостатки:</b> пассивная позиция исследователя (вынужден ждать проявления феномена); высокая субъективность и проблема интерпретации результатов из-за личностных качеств самого наблюдателя. Аналог в виде 'истории индивида' (ретроспективный метод реконструкции биографии) часто дает искажения памяти.</p>"
8,general-exam,8,Эксперимент как метод психологии.,6-8 мин,"1. Сущность и специфика эксперимента. 2. Переменные в эксперименте, экспериментальная и контрольная группы. 3. Виды эксперимента. 4. Достоинства и недостатки метода.","<h3>Вопрос 8. Эксперимент как метод психологии</h3><p><b>Эксперимент</b> — это самый эффективный и строгий метод психологического исследования, суть которого заключается в активном и целенаправленном манипулировании условиями деятельности испытуемого для проверки причинно-следственных гипотез.</p><p><b>Терминология и понятийный аппарат:</b><br>• <i>Независимая переменная</i> — фактор, которым экспериментатор манипулирует и изменяет физическими или шкалированными средствами (например, количество часов без сна).<br>• <i>Зависимая переменная</i> — психическая реакция или процесс, выступающий функцией от независимой переменной (например, объем воспоминаний).<br>• <i>Экспериментальная группа</i> — группа, в которой присутствует изучаемое условие.<br>• <i>Контрольная группа</i> — группа, в которой данное условие отсутствует. Для интерпретации результатов вычисляется среднее арифметическое; различие признается 'статистически значимым', если тест доказывает влияние независимой переменной, а не случайности.</p><p><b>Виды эксперимента:</b> лабораторный (высокий контроль условий в ущерб естественности); естественный (в привычной среде по А.Ф. Лазурскому); формирующий (психолого-педагогическое конструирование ВПФ). В классификации А.Р. Лурия выделяют: эксперимент как метод <i>структурного анализа</i>, <i>экспериментально-генетический</i> (метод срезов) и <i>экспериментально-патологический</i> метод (в нейро- и патопсихологии).</p><p><b>Достоинства:</b> исследователь сам создает условия; точный контроль переменных; возможность репликации на больших выборках. <br><b>Недостатки:</b> искусственность обстановки в лаборатории; этические ограничения; влияние ожиданий экспериментатора на испытуемых.</p>"
9,general-exam,9,Метод тестов в психологии.,5-7 мин,"1. Определение теста по Б.Г. Ананьеву. 2. Психометрические характеристики теста (стандартизация, надежность, валидность). 3. Классификация тестов по содержанию и способу реализации. 4. Проективные методики.","<h3>Вопрос 9. Метод тестов в психологии</h3><p><b>Тест</b> — это краткое, стандартизированное, ограниченное во времени психологическое испытание, предназначенное для установления в сравнительных величинах межиндивидуальных различий. Относится к методам корреляций и позволяет собирать большие объемы данных без сложной аппаратуры. Из корреляций нельзя напрямую вывести причинно-следственные связи без специальных экспериментов.</p><p>Любой научный тест должен обладать строгими <b>характеристиками</b>:<br>• <i>Стандартизация</i> — единообразие процедуры проведения и оценки. Чтобы обосновать выводы, результаты сравнивают с выборкой стандартизации (нормы устанавливаются эмпирически на репрезентативной группе).<br>• <i>Надежность</i> — постоянство, устойчивость и воспроизводимость результатов при повторном тестировании.<br>• <i>Валидность</i> — характеристика точности измерения исследуемого качества; отражает то, насколько тест оценивает именно то, что он должен оценивать.</p><p><b>Классификация тестов по Б.Г. Ананьеву:</b><br>1) <i>Тесты достижений</i> — для оценки уровня овладения учебными или профессиональными знаниями.<br>2) <i>Психологические тесты</i>: тесты способностей, тесты интеллекта и личностные тесты (личностные опросники, например, MMPI, 16PF Р. Кеттелла, ИТДО Л.Н. Собчик).<br>3) <i>Проективные тесты</i> — предъявление испытуемому неопределенной многозначной ситуации. В основе лежит механизм <b>проекции</b> (бессознательное приписывание субъектом своих мыслей, мотивов, скрытых комплексов и переживаний другим людям или стимулам). Примеры: Тест тематической апперцепции (ТАТ) — интерпретация сюжетной картинки; Тест Роршаха — интерпретация чернильных пятен; рисуночные тесты (рисунок несуществующего животного).</p>"
10,general-exam,10,Метод опроса в психологии.,5-6 мин,"1. Сущность и виды опросных методов. 2. Метод беседы и его модификации (З. Фрейд, Ж. Пиаже). 3. Анкетирование. 4. Социометрический опрос Дж. Морено.","<h3>Вопрос 10. Метод опроса в психологии</h3><p><b>Метод опроса</b> базируется на получении информации через вербальное взаимодействие и устный или письменный самоотчет испытуемого по специальной программе. Выделяют три основных вида опроса:<br>• <b>1. Беседа</b> — сбор фактов о психических явлениях в процессе личного общения. Требования: установление дружеских отношений, непринужденная обстановка, наличие четкой программы и такт экспериментатора. Выделяют <i>психоаналитическую беседу З. Фрейда</i> (в свободных условиях, выявление скрытых травм на основе интерпретации свободных ассоциаций и оговорок) и <i>клиническую беседу Ж. Пиаже</i> (глубокий качественный анализ мышления ребенка за счет гибкой перестройки вопросов по ходу исследования).<br>• <b>2. Анкета</b> — метод массового сбора фактов на основе письменного самоотчета. Вопросы должны быть четкими, краткими, однозначными и соответствовать целям исследования.<br>• <b>3. Социометрия</b> (Дж. Морено) — метод определения статуса личности и структуры межличностных отношений в малой группе. Осуществляется путем постановки косвенных вопросов-выборов, отвечая на которые, испытуемый выбирает предпочитаемых членов группы в некоторой гипотетической ситуации. Результаты оформляются в виде социометрических индексов и матриц, выявляя лидеров ('звезд'), микрогруппы и отверженных.</p>"
